,Unnamed: 0,Студент,Группа,Дисциплина,Семестр,Учебный год,Оценка,Специальность,Форма обучения,Квалификация,Статус
104849,107620,596550516254414356614F73476537663778684C37673D3D,556B3539434F64567A475A434A7250557547594D31773D3D,Творческий проект,3,2016/2017,незачет,13.03.03 Энергетическое машиностроение,Очная,Бакалавр,Отчисленный
105025,107835,6B2B61796847544F7A6569433051692F6F6C6C6B52773D3D,59584832497942742F5234316F5447394C5A353072413D3D,Творческий проект,3,2016/2017,незачет,54.03.01 Дизайн,Очная,Бакалавр,Отчисленный
105079,107893,596A7462703535427749657231566C48674A2F3958673D3D,476A55334D744B76724B4F576A3171704863765337673D3D,Творческий проект,3,2016/2017,незачет,38.03.02 Менеджмент,Очная,Бакалавр,Отчисленный
106442,109266,54774E776B2B4C70373946444C614C345979627576773D3D,5733644B33463638614B75396C3279464C4F354743673D3D,Творческий проект,3,2016/2017,незачет,03.03.02 Физика,Очная,Бакалавр,Отчисленный
108518,111398,787770783250662B33732F37754675715251553862413D3D,5A69503244684C6A31414A456F4B576654335A576C513D3D,Творческий проект,3,2016/2017,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
108519,111400,67736D466F6D4572595A463666316A6837542F6571513D3D,4E354D6168572F48496D626D51684677455A6E6366513D3D,Творческий проект,3,2016/2017,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
108520,111402,6F4162454B686E63496C314174773666416D71704A513D3D,5A69503244684C6A31414A456F4B576654335A576C513D3D,Творческий проект,3,2016/2017,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
110300,113197,61757A41647547476455474338396A354E4658304F673D3D,50592F6C4F774C4E5635454A4C3874387257305266413D3D,Творческий проект,2,2015/2016,незачет,20.03.01 Техносферная безопасность,Очная,Бакалавр,Отчисленный
110732,113638,6F364A326638395168766C6F4E69627837552F434D513D3D,7576356A72412B4C466A325970656B624F68787A66413D3D,Творческий проект,3,2013/2014,незачет,14.05.04 Электроника и автоматика физических установок,Очная,Специалист,Отчисленный
111310,114221,2B2F594F58715179766342613567424C58306B4776513D3D,6B727348445775796A74686C5A43745849626B6245513D3D,Творческий проект,2,2012/2013,незачет,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",Заочная,Бакалавр,Отчисленный
